Índice del término,Término,TF,IDF,TF-IDF
0,aromas,1,0.9162907318741551,0.9162907318741551
1,include,1,2.302585092994046,2.302585092994046
2,tropical,1,2.302585092994046,2.302585092994046
3,fruit,1,1.6094379124341003,1.6094379124341003
4,broom,1,2.302585092994046,2.302585092994046
5,brimstone,1,2.302585092994046,2.302585092994046
6,dried,2,1.6094379124341003,3.2188758248682006
7,herb,1,1.6094379124341003,1.6094379124341003
8,palate,1,1.2039728043259361,1.2039728043259361
9,overly,1,2.302585092994046,2.302585092994046
10,expressive,1,2.302585092994046,2.302585092994046
11,offer,1,1.6094379124341003,1.6094379124341003
12,unripened,1,2.302585092994046,2.302585092994046
13,apple,1,1.6094379124341003,1.6094379124341003
14,citrus,1,2.302585092994046,2.302585092994046
15,sage,1,2.302585092994046,2.302585092994046
16,brisk,1,1.6094379124341003,1.6094379124341003
17,acidity,1,0.3566749439387324,0.3566749439387324
