Índice del término,Término,TF,IDF,TF-IDF
0,white,1,1.9459101490553132,1.9459101490553132
1,flower,1,3.044522437723423,3.044522437723423
2,lychee,1,3.044522437723423,3.044522437723423
3,apple,1,3.044522437723423,3.044522437723423
4,aromas,1,1.4350845252893227,1.4350845252893227
5,carry,1,3.044522437723423,3.044522437723423
6,mellow,1,3.044522437723423,3.044522437723423
7,bouquet,1,3.044522437723423,3.044522437723423
8,chunky,1,3.044522437723423,3.044522437723423
9,feeling,1,3.044522437723423,3.044522437723423
10,palate,1,1.4350845252893227,1.4350845252893227
11,bear,1,2.3513752571634776,2.3513752571634776
12,powdery,1,3.044522437723423,3.044522437723423
13,sweet,1,1.6582280766035324,1.6582280766035324
14,flavors,1,0.965080896043587,0.965080896043587
15,peach,1,3.044522437723423,3.044522437723423
16,melon,1,3.044522437723423,3.044522437723423
17,mix,1,3.044522437723423,3.044522437723423
18,greener,1,3.044522437723423,3.044522437723423
19,note,1,1.4350845252893227,1.4350845252893227
20,grass,1,2.3513752571634776,2.3513752571634776
21,lime,1,3.044522437723423,3.044522437723423
22,80,1,3.044522437723423,3.044522437723423
23,viognier,1,2.3513752571634776,2.3513752571634776
24,component,1,3.044522437723423,3.044522437723423
25,typical,1,3.044522437723423,3.044522437723423
26,warm,1,3.044522437723423,3.044522437723423
27,climate,1,3.044522437723423,3.044522437723423
28,plump,1,2.3513752571634776,2.3513752571634776
29,oily,1,3.044522437723423,3.044522437723423
30,a,1,0.4054651081081644,0.4054651081081644
31,short,1,3.044522437723423,3.044522437723423
32,finish,1,1.4350845252893227,1.4350845252893227
33,chardonnay,1,3.044522437723423,3.044522437723423
34,fill,1,3.044522437723423,3.044522437723423
35,blend,1,1.9459101490553132,1.9459101490553132
