Índice del término,Término,TF,IDF,TF-IDF
0,raw,1,2.3978952727983707,2.3978952727983707
1,black,1,1.2992829841302609,1.2992829841302609
2,cherry,1,1.2992829841302609,1.2992829841302609
3,aromas,1,0.6061358035703155,0.6061358035703155
4,direct,1,2.3978952727983707,2.3978952727983707
5,simple,1,2.3978952727983707,2.3978952727983707
6,good,1,1.7047480922384253,1.7047480922384253
7,a,2,0.3184537311185346,0.6369074622370692
8,juicy,1,1.7047480922384253,1.7047480922384253
9,feel,1,2.3978952727983707,2.3978952727983707
10,thickens,1,2.3978952727983707,2.3978952727983707
11,time,1,2.3978952727983707,2.3978952727983707
12,oak,2,0.6061358035703155,1.212271607140631
13,character,1,1.7047480922384253,1.7047480922384253
14,extract,1,2.3978952727983707,2.3978952727983707
15,apparent,1,2.3978952727983707,2.3978952727983707
16,flavor,1,1.7047480922384253,1.7047480922384253
17,profile,1,2.3978952727983707,2.3978952727983707
18,drive,1,2.3978952727983707,2.3978952727983707
19,dark,1,1.7047480922384253,1.7047480922384253
20,berry,1,1.7047480922384253,1.7047480922384253
21,fruits,1,2.3978952727983707,2.3978952727983707
22,smoldering,1,2.3978952727983707,2.3978952727983707
23,finish,1,1.0116009116784799,1.0116009116784799
24,meaty,1,2.3978952727983707,2.3978952727983707
25,hot,1,2.3978952727983707,2.3978952727983707
