Índice del término,Término,TF,IDF,TF-IDF
0,bake,1,2.3978952727983707,2.3978952727983707
1,plum,2,1.2992829841302609,2.5985659682605218
2,molasses,1,2.3978952727983707,2.3978952727983707
3,balsamic,1,2.3978952727983707,2.3978952727983707
4,vinegar,1,2.3978952727983707,2.3978952727983707
5,cheesy,1,2.3978952727983707,2.3978952727983707
6,oak,1,0.6061358035703155,0.6061358035703155
7,aromas,1,0.6061358035703155,0.6061358035703155
8,feed,1,2.3978952727983707,2.3978952727983707
9,a,3,0.3184537311185346,0.9553611933556038
10,palate,1,0.7884573603642703,0.7884573603642703
11,braced,1,2.3978952727983707,2.3978952727983707
12,bolt,1,2.3978952727983707,2.3978952727983707
13,acidity,1,2.3978952727983707,2.3978952727983707
14,compact,1,2.3978952727983707,2.3978952727983707
15,set,1,2.3978952727983707,2.3978952727983707
16,saucy,1,2.3978952727983707,2.3978952727983707
17,red,1,1.2992829841302609,1.2992829841302609
18,berry,1,1.7047480922384253,1.7047480922384253
19,flavors,1,1.2992829841302609,1.2992829841302609
20,feature,1,2.3978952727983707,2.3978952727983707
21,tobacco,1,1.7047480922384253,1.7047480922384253
22,peppery,1,2.3978952727983707,2.3978952727983707
23,accents,1,2.3978952727983707,2.3978952727983707
24,finish,1,1.0116009116784799,1.0116009116784799
25,mildly,1,2.3978952727983707,2.3978952727983707
26,green,1,1.7047480922384253,1.7047480922384253
27,flavor,1,1.7047480922384253,1.7047480922384253
28,respectable,1,2.3978952727983707,2.3978952727983707
29,weight,1,2.3978952727983707,2.3978952727983707
30,balance,1,2.3978952727983707,2.3978952727983707
