Índice del término,Término,TF,IDF,TF-IDF
0,part,1,2.3513752571634776,2.3513752571634776
1,extend,1,3.044522437723423,3.044522437723423
2,calanìca,1,3.044522437723423,3.044522437723423
3,series,1,3.044522437723423,3.044522437723423
4,grillo,1,3.044522437723423,3.044522437723423
5,viognier,1,2.3513752571634776,2.3513752571634776
6,blend,1,1.9459101490553132,1.9459101490553132
7,show,2,1.9459101490553132,3.8918202981106265
8,aromas,1,1.4350845252893227,1.4350845252893227
9,honeysuckle,1,3.044522437723423,3.044522437723423
10,jasmine,1,3.044522437723423,3.044522437723423
11,back,1,2.3513752571634776,2.3513752571634776
12,touch,1,1.9459101490553132,1.9459101490553132
13,cut,1,3.044522437723423,3.044522437723423
14,grass,1,2.3513752571634776,2.3513752571634776
15,wild,1,3.044522437723423,3.044522437723423
16,sage,1,3.044522437723423,3.044522437723423
17,mouth,1,3.044522437723423,3.044522437723423
18,ripe,1,1.6582280766035324,1.6582280766035324
19,yellow,1,3.044522437723423,3.044522437723423
20,fruit,1,0.6466271649250525,0.6466271649250525
21,flavors,1,0.965080896043587,0.965080896043587
