Índice del término,Término,TF,IDF,TF-IDF
0,spicy,1,3.044522437723423,3.044522437723423
1,fresh,1,3.044522437723423,3.044522437723423
2,clean,1,1.9459101490553132,1.9459101490553132
3,pair,1,1.6582280766035324,1.6582280766035324
4,fry,1,3.044522437723423,3.044522437723423
5,seafood,1,3.044522437723423,3.044522437723423
6,spaghetti,1,3.044522437723423,3.044522437723423
7,con,1,3.044522437723423,3.044522437723423
8,vongole,1,3.044522437723423,3.044522437723423
9,offer,1,2.3513752571634776,2.3513752571634776
10,pretty,1,3.044522437723423,3.044522437723423
11,citrus,1,1.9459101490553132,1.9459101490553132
12,tones,1,3.044522437723423,3.044522437723423
13,a,1,0.4054651081081644,0.4054651081081644
14,drying,1,2.3513752571634776,2.3513752571634776
15,mineral,1,2.3513752571634776,2.3513752571634776
16,nuance,1,3.044522437723423,3.044522437723423
