Índice del término,Término,TF,IDF,TF-IDF
0,build,1,2.3978952727983707,2.3978952727983707
1,150,1,2.3978952727983707,2.3978952727983707
2,years,1,2.3978952727983707,2.3978952727983707
3,generations,1,2.3978952727983707,2.3978952727983707
4,winemaking,1,2.3978952727983707,2.3978952727983707
5,tradition,1,2.3978952727983707,2.3978952727983707
6,winery,1,2.3978952727983707,2.3978952727983707
7,trends,1,2.3978952727983707,2.3978952727983707
8,a,1,0.3184537311185346,0.3184537311185346
9,leaner,1,2.3978952727983707,2.3978952727983707
10,style,1,2.3978952727983707,2.3978952727983707
11,classic,1,2.3978952727983707,2.3978952727983707
12,california,1,2.3978952727983707,2.3978952727983707
13,buttercream,1,2.3978952727983707,2.3978952727983707
14,aroma,1,2.3978952727983707,2.3978952727983707
15,cut,1,2.3978952727983707,2.3978952727983707
16,tart,1,1.7047480922384253,1.7047480922384253
17,green,1,1.7047480922384253,1.7047480922384253
18,apple,1,1.7047480922384253,1.7047480922384253
19,good,1,1.7047480922384253,1.7047480922384253
20,everyday,1,2.3978952727983707,2.3978952727983707
21,sipping,1,2.3978952727983707,2.3978952727983707
22,wine,1,1.2992829841302609,1.2992829841302609
23,flavors,1,1.2992829841302609,1.2992829841302609
24,range,1,2.3978952727983707,2.3978952727983707
25,pear,1,2.3978952727983707,2.3978952727983707
26,barely,1,2.3978952727983707,2.3978952727983707
27,ripe,1,1.7047480922384253,1.7047480922384253
28,pineapple,1,2.3978952727983707,2.3978952727983707
29,prove,1,2.3978952727983707,2.3978952727983707
30,approachable,1,1.7047480922384253,1.7047480922384253
31,distinctive,1,2.3978952727983707,2.3978952727983707
