Índice del término,Término,TF,IDF,TF-IDF
0,soft,1,1.9459101490553132,1.9459101490553132
1,fruity,1,3.044522437723423,3.044522437723423
2,a,2,0.4054651081081644,0.8109302162163288
3,generous,1,3.044522437723423,3.044522437723423
4,ripe,1,1.6582280766035324,1.6582280766035324
5,wine,2,0.6466271649250525,1.293254329850105
6,full,1,3.044522437723423,3.044522437723423
7,juicy,1,1.9459101490553132,1.9459101490553132
8,red,1,1.6582280766035324,1.6582280766035324
9,cherry,1,2.3513752571634776,2.3513752571634776
10,fruits,1,3.044522437723423,3.044522437723423
11,gentle,1,3.044522437723423,3.044522437723423
12,tannins,1,1.6582280766035324,1.6582280766035324
13,richness,1,3.044522437723423,3.044522437723423
14,give,1,1.9459101490553132,1.9459101490553132
15,sweet,1,1.6582280766035324,1.6582280766035324
16,character,1,2.3513752571634776,2.3513752571634776
17,open,1,1.9459101490553132,1.9459101490553132
18,ready,1,3.044522437723423,3.044522437723423
19,to,1,3.044522437723423,3.044522437723423
20,drink,1,3.044522437723423,3.044522437723423
