Índice del término,Término,TF,IDF,TF-IDF
0,part,1,2.3513752571634776,2.3513752571634776
1,natural,1,3.044522437723423,3.044522437723423
2,wine,2,0.6466271649250525,1.293254329850105
3,movement,1,3.044522437723423,3.044522437723423
4,organic,1,3.044522437723423,3.044522437723423
5,grapes,1,3.044522437723423,3.044522437723423
6,label,1,3.044522437723423,3.044522437723423
7,print,1,3.044522437723423,3.044522437723423
8,vegetable,1,3.044522437723423,3.044522437723423
9,ink,1,3.044522437723423,3.044522437723423
10,recycled,1,3.044522437723423,3.044522437723423
11,paper,1,3.044522437723423,3.044522437723423
12,quality,1,2.3513752571634776,2.3513752571634776
13,fruit,1,0.6466271649250525,0.6466271649250525
14,nice,1,3.044522437723423,3.044522437723423
15,a,2,0.4054651081081644,0.8109302162163288
16,juicy,1,1.9459101490553132,1.9459101490553132
17,palate,1,1.4350845252893227,1.4350845252893227
18,bright,1,1.9459101490553132,1.9459101490553132
19,berry,1,1.6582280766035324,1.6582280766035324
20,flavor,1,1.4350845252893227,1.4350845252893227
21,finish,1,1.4350845252893227,1.4350845252893227
