Índice del término,Término,TF,IDF,TF-IDF
0,great,1,2.302585092994046,2.302585092994046
1,depth,1,2.302585092994046,2.302585092994046
2,flavor,1,2.302585092994046,2.302585092994046
3,fresh,1,0.9162907318741551,0.9162907318741551
4,apple,1,1.6094379124341003,1.6094379124341003
5,pear,1,2.302585092994046,2.302585092994046
6,fruits,1,1.6094379124341003,1.6094379124341003
7,touch,1,2.302585092994046,2.302585092994046
8,spice,1,1.6094379124341003,1.6094379124341003
9,dry,1,1.2039728043259361,1.2039728043259361
10,balance,1,1.2039728043259361,1.2039728043259361
11,acidity,1,0.3566749439387324,0.3566749439387324
12,a,1,0.3566749439387324,0.3566749439387324
13,crisp,1,1.6094379124341003,1.6094379124341003
14,texture,1,1.6094379124341003,1.6094379124341003
15,drink,1,2.302585092994046,2.302585092994046
16,now,1,2.302585092994046,2.302585092994046
