Índice del término,Término,TF,IDF,TF-IDF
0,zesty,1,2.3978952727983707,2.3978952727983707
1,orange,1,2.3978952727983707,2.3978952727983707
2,peels,1,2.3978952727983707,2.3978952727983707
3,apple,1,1.7047480922384253,1.7047480922384253
4,note,1,1.2992829841302609,1.2992829841302609
5,abound,1,2.3978952727983707,2.3978952727983707
6,sprightly,1,2.3978952727983707,2.3978952727983707
7,mineral,1,1.7047480922384253,1.7047480922384253
8,toned,1,2.3978952727983707,2.3978952727983707
9,riesling,1,2.3978952727983707,2.3978952727983707
10,dry,1,1.7047480922384253,1.7047480922384253
11,palate,1,0.7884573603642703,0.7884573603642703
12,racy,1,2.3978952727983707,2.3978952727983707
13,lean,1,2.3978952727983707,2.3978952727983707
14,a,1,0.3184537311185346,0.3184537311185346
15,refreshing,1,2.3978952727983707,2.3978952727983707
16,easy,1,2.3978952727983707,2.3978952727983707
17,quaffer,1,2.3978952727983707,2.3978952727983707
18,wide,1,2.3978952727983707,2.3978952727983707
19,appeal,1,2.3978952727983707,2.3978952727983707
