Índice del término,Término,TF,IDF,TF-IDF
0,pineapple,1,1.6094379124341003,1.6094379124341003
1,rind,1,1.6094379124341003,1.6094379124341003
2,lemon,1,2.302585092994046,2.302585092994046
3,pith,1,2.302585092994046,2.302585092994046
4,orange,1,2.302585092994046,2.302585092994046
5,blossom,1,2.302585092994046,2.302585092994046
6,start,1,2.302585092994046,2.302585092994046
7,aromas,1,0.9162907318741551,0.9162907318741551
8,palate,1,1.2039728043259361,1.2039728043259361
9,a,2,0.3566749439387324,0.7133498878774648
10,bite,1,2.302585092994046,2.302585092994046
11,opulent,1,2.302585092994046,2.302585092994046
12,note,1,1.6094379124341003,1.6094379124341003
13,honey,1,2.302585092994046,2.302585092994046
14,drizzled,1,2.302585092994046,2.302585092994046
15,guava,1,2.302585092994046,2.302585092994046
16,mango,1,2.302585092994046,2.302585092994046
17,give,1,2.302585092994046,2.302585092994046
18,slightly,1,2.302585092994046,2.302585092994046
19,astringent,1,2.302585092994046,2.302585092994046
20,semidry,1,2.302585092994046,2.302585092994046
21,finish,1,1.6094379124341003,1.6094379124341003
