Índice del término,Término,TF,IDF,TF-IDF
0,show,1,1.9459101490553132,1.9459101490553132
1,a,2,0.4054651081081644,0.8109302162163288
2,tart,1,3.044522437723423,3.044522437723423
3,green,1,2.3513752571634776,2.3513752571634776
4,gooseberry,1,2.3513752571634776,2.3513752571634776
5,flavor,1,1.4350845252893227,1.4350845252893227
6,similar,1,3.044522437723423,3.044522437723423
7,zealand,1,2.3513752571634776,2.3513752571634776
8,sauvignon,1,1.6582280766035324,1.6582280766035324
9,blanc,1,1.9459101490553132,1.9459101490553132
10,note,1,1.4350845252893227,1.4350845252893227
11,include,1,3.044522437723423,3.044522437723423
12,tropical,1,2.3513752571634776,2.3513752571634776
13,fruit,1,0.6466271649250525,0.6466271649250525
14,orange,1,2.3513752571634776,2.3513752571634776
15,honey,1,1.9459101490553132,1.9459101490553132
16,unoaked,1,3.044522437723423,3.044522437723423
17,splash,1,3.044522437723423,3.044522437723423
18,muscat,1,3.044522437723423,3.044522437723423
19,commendable,1,3.044522437723423,3.044522437723423
20,dryness,1,3.044522437723423,3.044522437723423
21,acidity,1,1.9459101490553132,1.9459101490553132
