Índice del término,Término,TF,IDF,TF-IDF
0,a,2,0.4054651081081644,0.8109302162163288
1,festive,1,3.044522437723423,3.044522437723423
2,wine,1,0.6466271649250525,0.6466271649250525
3,soft,1,1.9459101490553132,1.9459101490553132
4,ripe,1,1.6582280766035324,1.6582280766035324
5,fruit,1,0.6466271649250525,0.6466271649250525
6,acidity,1,1.9459101490553132,1.9459101490553132
7,red,1,1.6582280766035324,1.6582280766035324
8,berry,1,1.6582280766035324,1.6582280766035324
9,flavor,1,1.4350845252893227,1.4350845252893227
