Índice del término,Término,TF,IDF,TF-IDF
0,red,1,1.2992829841302609,1.2992829841302609
1,fruit,1,1.7047480922384253,1.7047480922384253
2,aromas,1,0.6061358035703155,0.6061358035703155
3,pervade,1,2.3978952727983707,2.3978952727983707
4,nose,1,1.7047480922384253,1.7047480922384253
5,cigar,1,1.7047480922384253,1.7047480922384253
6,box,1,1.7047480922384253,1.7047480922384253
7,menthol,1,2.3978952727983707,2.3978952727983707
8,note,2,1.2992829841302609,2.5985659682605218
9,ride,1,2.3978952727983707,2.3978952727983707
10,back,1,2.3978952727983707,2.3978952727983707
11,palate,1,0.7884573603642703,0.7884573603642703
12,slightly,1,1.7047480922384253,1.7047480922384253
13,restrain,1,2.3978952727983707,2.3978952727983707
14,entry,1,2.3978952727983707,2.3978952727983707
15,open,1,2.3978952727983707,2.3978952727983707
16,riper,1,2.3978952727983707,2.3978952727983707
17,cherry,1,1.2992829841302609,1.2992829841302609
18,plum,1,1.2992829841302609,1.2992829841302609
19,specked,1,2.3978952727983707,2.3978952727983707
20,crushed,1,2.3978952727983707,2.3978952727983707
21,pepper,1,1.2992829841302609,1.2992829841302609
22,blend,1,2.3978952727983707,2.3978952727983707
23,merlot,1,2.3978952727983707,2.3978952727983707
24,cabernet,2,2.3978952727983707,4.795790545596741
25,sauvignon,1,2.3978952727983707,2.3978952727983707
26,franc,1,2.3978952727983707,2.3978952727983707
27,approachable,1,1.7047480922384253,1.7047480922384253
28,ready,1,2.3978952727983707,2.3978952727983707
29,enjoyed,1,2.3978952727983707,2.3978952727983707
