Primer Documento,Segundo Documento,Similaridad Coseno
Documento_2_8.csv,Documento_2_5.csv,0.043094530754715046
Documento_2_8.csv,Documento_2_6.csv,0.01658254986389943
Documento_2_8.csv,Documento_2_7.csv,0.0439075162795783
Documento_2_8.csv,Documento_2_9.csv,0.09319236617627835
Documento_2_8.csv,Documento_2_10.csv,0
Documento_2_9.csv,Documento_2_0.csv,0.023286591990869285
Documento_2_9.csv,Documento_2_1.csv,0.06470003069023408
Documento_2_9.csv,Documento_2_2.csv,0.08373090868855924
Documento_2_9.csv,Documento_2_3.csv,0.04855106275693064
Documento_2_9.csv,Documento_2_4.csv,0.04351233612850923
Documento_2_9.csv,Documento_2_5.csv,0.05484177983216342
Documento_2_9.csv,Documento_2_6.csv,0.058613143342452045
Documento_2_9.csv,Documento_2_7.csv,0.009103640939053937
Documento_2_9.csv,Documento_2_8.csv,0.09319236617627835
Documento_2_9.csv,Documento_2_10.csv,0
Documento_2_10.csv,Documento_2_0.csv,0
Documento_2_10.csv,Documento_2_1.csv,0
Documento_2_10.csv,Documento_2_2.csv,0
Documento_2_10.csv,Documento_2_3.csv,0
Documento_2_10.csv,Documento_2_4.csv,0
Documento_2_10.csv,Documento_2_5.csv,0
Documento_2_10.csv,Documento_2_6.csv,0
Documento_2_10.csv,Documento_2_7.csv,0
Documento_2_10.csv,Documento_2_8.csv,0
Documento_2_10.csv,Documento_2_9.csv,0
