Índice del término,Término,TF,IDF,TF-IDF
0,tart,1,2.302585092994046,2.302585092994046
1,snappy,1,2.302585092994046,2.302585092994046
2,flavors,2,1.2039728043259361,2.4079456086518722
3,lime,1,2.302585092994046,2.302585092994046
4,flesh,1,2.302585092994046,2.302585092994046
5,rind,1,1.6094379124341003,1.6094379124341003
6,dominate,1,2.302585092994046,2.302585092994046
7,green,1,1.6094379124341003,1.6094379124341003
8,pineapple,1,1.6094379124341003,1.6094379124341003
9,pokes,1,2.302585092994046,2.302585092994046
10,through,1,2.302585092994046,2.302585092994046
11,crisp,1,1.6094379124341003,1.6094379124341003
12,acidity,1,0.3566749439387324,0.3566749439387324
13,underscoring,1,2.302585092994046,2.302585092994046
14,wine,1,0.6931471805599453,0.6931471805599453
15,stainless,1,2.302585092994046,2.302585092994046
16,steel,1,2.302585092994046,2.302585092994046
17,fermented,1,2.302585092994046,2.302585092994046
