Índice del término,Término,TF,IDF,TF-IDF
0,ripe,1,2.302585092994046,2.302585092994046
1,fruity,1,1.6094379124341003,1.6094379124341003
2,a,1,0.3566749439387324,0.3566749439387324
3,wine,1,0.6931471805599453,0.6931471805599453
4,smooth,1,2.302585092994046,2.302585092994046
5,structured,1,2.302585092994046,2.302585092994046
6,firm,1,1.6094379124341003,1.6094379124341003
7,tannins,1,1.6094379124341003,1.6094379124341003
8,fill,1,2.302585092994046,2.302585092994046
9,juicy,1,2.302585092994046,2.302585092994046
10,red,1,1.6094379124341003,1.6094379124341003
11,berry,1,1.6094379124341003,1.6094379124341003
12,fruits,1,1.6094379124341003,1.6094379124341003
13,freshened,1,2.302585092994046,2.302585092994046
14,acidity,1,0.3566749439387324,0.3566749439387324
15,drinkable,1,2.302585092994046,2.302585092994046
16,2016,1,2.302585092994046,2.302585092994046
