Índice del término,Término,TF,IDF,TF-IDF
0,clean,1,1.9459101490553132,1.9459101490553132
1,brisk,1,3.044522437723423,3.044522437723423
2,mouthfeel,1,3.044522437723423,3.044522437723423
3,slightly,1,3.044522437723423,3.044522437723423
4,oaked,1,3.044522437723423,3.044522437723423
5,sauvignon,1,1.6582280766035324,1.6582280766035324
6,blanc,1,1.9459101490553132,1.9459101490553132
7,instant,1,3.044522437723423,3.044522437723423
8,likeability,1,3.044522437723423,3.044522437723423
9,dry,1,2.3513752571634776,2.3513752571634776
10,a,2,0.4054651081081644,0.8109302162163288
11,rich,1,3.044522437723423,3.044522437723423
12,streak,1,3.044522437723423,3.044522437723423
13,honey,1,1.9459101490553132,1.9459101490553132
14,sweetens,1,3.044522437723423,3.044522437723423
15,citrus,1,1.9459101490553132,1.9459101490553132
16,pear,1,3.044522437723423,3.044522437723423
17,tropical,1,2.3513752571634776,2.3513752571634776
18,fruit,1,0.6466271649250525,0.6466271649250525
19,flavors,1,0.965080896043587,0.965080896043587
20,pair,1,1.6582280766035324,1.6582280766035324
21,asian,1,3.044522437723423,3.044522437723423
22,fare,1,3.044522437723423,3.044522437723423
23,ham,1,3.044522437723423,3.044522437723423
24,green,1,2.3513752571634776,2.3513752571634776
25,salad,1,3.044522437723423,3.044522437723423
26,grapefruit,1,2.3513752571634776,2.3513752571634776
27,sections,1,3.044522437723423,3.044522437723423
