Índice del término,Término,TF,IDF,TF-IDF
0,slightly,1,1.7047480922384253,1.7047480922384253
1,reduced,1,2.3978952727983707,2.3978952727983707
2,wine,1,1.2992829841302609,1.2992829841302609
3,offer,1,1.7047480922384253,1.7047480922384253
4,a,1,0.3184537311185346,0.3184537311185346
5,chalky,1,2.3978952727983707,2.3978952727983707
6,tannic,1,1.7047480922384253,1.7047480922384253
7,backbone,1,2.3978952727983707,2.3978952727983707
8,juicy,1,1.7047480922384253,1.7047480922384253
9,explosion,1,2.3978952727983707,2.3978952727983707
10,rich,1,2.3978952727983707,2.3978952727983707
11,black,1,1.2992829841302609,1.2992829841302609
12,cherry,1,1.2992829841302609,1.2992829841302609
13,accented,1,2.3978952727983707,2.3978952727983707
14,firm,1,2.3978952727983707,2.3978952727983707
15,oak,1,0.6061358035703155,0.6061358035703155
16,cigar,1,1.7047480922384253,1.7047480922384253
17,box,1,1.7047480922384253,1.7047480922384253
