Índice del término,Término,TF,IDF,TF-IDF
0,inky,1,3.044522437723423,3.044522437723423
1,color,1,3.044522437723423,3.044522437723423
2,wine,1,0.6466271649250525,0.6466271649250525
3,plump,1,2.3513752571634776,2.3513752571634776
4,aromas,1,1.4350845252893227,1.4350845252893227
5,ripe,1,1.6582280766035324,1.6582280766035324
6,fruit,1,0.6466271649250525,0.6466271649250525
7,blackberry,1,3.044522437723423,3.044522437723423
8,jam,1,3.044522437723423,3.044522437723423
9,rum,1,3.044522437723423,3.044522437723423
10,cake,1,3.044522437723423,3.044522437723423
11,palate,1,1.4350845252893227,1.4350845252893227
12,soft,1,1.9459101490553132,1.9459101490553132
13,smooth,1,3.044522437723423,3.044522437723423
