Índice del término,Término,TF,IDF,TF-IDF
0,catarratto,1,3.044522437723423,3.044522437723423
1,sicily,1,3.044522437723423,3.044522437723423
2,s,1,3.044522437723423,3.044522437723423
3,widely,1,3.044522437723423,3.044522437723423
4,farmed,1,3.044522437723423,3.044522437723423
5,white,1,1.9459101490553132,1.9459101490553132
6,grape,1,3.044522437723423,3.044522437723423
7,varieties,1,3.044522437723423,3.044522437723423
8,expression,1,3.044522437723423,3.044522437723423
9,show,1,1.9459101490553132,1.9459101490553132
10,a,1,0.4054651081081644,0.4054651081081644
11,mineral,1,2.3513752571634776,2.3513752571634776
12,note,1,1.4350845252893227,1.4350845252893227
13,back,1,2.3513752571634776,2.3513752571634776
14,citrus,1,1.9459101490553132,1.9459101490553132
15,almond,1,3.044522437723423,3.044522437723423
16,blossom,1,3.044522437723423,3.044522437723423
17,touches,1,3.044522437723423,3.044522437723423
