Primer Documento,Segundo Documento,Similaridad Coseno
Documento0.csv,Documento1.csv,0.001937636048976593
Documento0.csv,Documento2.csv,0.0017130733411198414
Documento0.csv,Documento3.csv,0.02774451021538671
Documento0.csv,Documento4.csv,0
Documento0.csv,Documento5.csv,0.038792326322219
Documento0.csv,Documento6.csv,0.0752951167477242
Documento0.csv,Documento7.csv,0.05798888833801753
Documento0.csv,Documento8.csv,0.11256525612469342
Documento0.csv,Documento9.csv,0.04312777688383067
Documento1.csv,Documento0.csv,0.001937636048976593
Documento1.csv,Documento2.csv,0.00915364432699504
Documento1.csv,Documento3.csv,0.003449653846468564
Documento1.csv,Documento4.csv,0.01158522989084793
Documento1.csv,Documento5.csv,0.0031039940920226813
Documento1.csv,Documento6.csv,0.135013405649959
Documento1.csv,Documento7.csv,0.0793751089519737
Documento1.csv,Documento8.csv,0.049759229306900084
Documento1.csv,Documento9.csv,0.05050356081679002
Documento2.csv,Documento0.csv,0.0017130733411198414
Documento2.csv,Documento1.csv,0.00915364432699504
Documento2.csv,Documento3.csv,0.06209870174688275
Documento2.csv,Documento4.csv,0.005708206007676056
Documento2.csv,Documento5.csv,0.06057920726209067
Documento2.csv,Documento6.csv,0.0018921880189522737
Documento2.csv,Documento7.csv,0.012824518767442814
Documento2.csv,Documento8.csv,0.04841648572728527
Documento2.csv,Documento9.csv,0.0426536583289683
Documento3.csv,Documento0.csv,0.02774451021538671
Documento3.csv,Documento1.csv,0.003449653846468564
Documento3.csv,Documento2.csv,0.06209870174688275
Documento3.csv,Documento4.csv,0.008162426300312938
Documento3.csv,Documento5.csv,0.03576679906286096
Documento3.csv,Documento6.csv,0.034051593251272494
Documento3.csv,Documento7.csv,0.004833064178028923
Documento3.csv,Documento8.csv,0.03340076592938796
Documento3.csv,Documento9.csv,0.0035944698977547563
Documento4.csv,Documento0.csv,0
Documento4.csv,Documento1.csv,0.01158522989084793
Documento4.csv,Documento2.csv,0.005708206007676056
Documento4.csv,Documento3.csv,0.008162426300312938
Documento4.csv,Documento5.csv,0.02859620718067863
Documento4.csv,Documento6.csv,0.005064123543963378
Documento4.csv,Documento7.csv,0.016231240023403117
Documento4.csv,Documento8.csv,0.00614049722057788
Documento4.csv,Documento9.csv,0.005344052992766903
Documento5.csv,Documento0.csv,0.038792326322219
Documento5.csv,Documento1.csv,0.0031039940920226813
Documento5.csv,Documento2.csv,0.060579207262090665
Documento5.csv,Documento3.csv,0.03576679906286096
Documento5.csv,Documento4.csv,0.02859620718067863
Documento5.csv,Documento6.csv,0.023292052648099085
Documento5.csv,Documento7.csv,0.0043487849281821965
Documento5.csv,Documento8.csv,0.02655984552077173
Documento5.csv,Documento9.csv,0.013906933166332125
Documento6.csv,Documento0.csv,0.0752951167477242
Documento6.csv,Documento1.csv,0.135013405649959
Documento6.csv,Documento2.csv,0.0018921880189522737
Documento6.csv,Documento3.csv,0.034051593251272494
Documento6.csv,Documento4.csv,0.005064123543963378
Documento6.csv,Documento5.csv,0.023292052648099085
Documento6.csv,Documento7.csv,0.04016317424422165
Documento6.csv,Documento8.csv,0.054878445069783385
Documento6.csv,Documento9.csv,0.044588094796266006
Documento7.csv,Documento0.csv,0.05798888833801753
Documento7.csv,Documento1.csv,0.0793751089519737
Documento7.csv,Documento2.csv,0.012824518767442814
Documento7.csv,Documento3.csv,0.004833064178028923
Documento7.csv,Documento4.csv,0.016231240023403117
Documento7.csv,Documento5.csv,0.0043487849281821965
Documento7.csv,Documento6.csv,0.04016317424422165
Documento7.csv,Documento8.csv,0.04381625583371641
Documento7.csv,Documento9.csv,0.20729478421610245
Documento8.csv,Documento0.csv,0.11256525612469342
Documento8.csv,Documento1.csv,0.049759229306900084
Documento8.csv,Documento2.csv,0.04841648572728527
Documento8.csv,Documento3.csv,0.03340076592938796
Documento8.csv,Documento4.csv,0.00614049722057788
Documento8.csv,Documento5.csv,0.02655984552077173
Documento8.csv,Documento6.csv,0.054878445069783385
Documento8.csv,Documento7.csv,0.04381625583371641
Documento8.csv,Documento9.csv,0.03865108196589323
Documento9.csv,Documento0.csv,0.04312777688383067
Documento9.csv,Documento1.csv,0.05050356081679002
Documento9.csv,Documento2.csv,0.0426536583289683
Documento9.csv,Documento3.csv,0.0035944698977547563
Documento9.csv,Documento4.csv,0.005344052992766903
Documento9.csv,Documento5.csv,0.013906933166332127
Documento9.csv,Documento6.csv,0.044588094796266006
Documento9.csv,Documento7.csv,0.20729478421610245
Documento9.csv,Documento8.csv,0.03865108196589323
