Índice del término,Término,TF,IDF,TF-IDF
0,a,2,0.4054651081081644,0.8109302162163288
1,berry,1,1.6582280766035324,1.6582280766035324
2,aroma,1,3.044522437723423,3.044522437723423
3,cola,1,3.044522437723423,3.044522437723423
4,herb,1,2.3513752571634776,2.3513752571634776
5,notes,1,2.3513752571634776,2.3513752571634776
6,palate,1,1.4350845252893227,1.4350845252893227
7,tangy,1,3.044522437723423,3.044522437723423
8,racy,1,3.044522437723423,3.044522437723423
9,deliver,1,3.044522437723423,3.044522437723423
10,raspberry,1,3.044522437723423,3.044522437723423
11,plum,1,3.044522437723423,3.044522437723423
12,flavors,1,0.965080896043587,0.965080896043587
13,modest,1,3.044522437723423,3.044522437723423
14,finish,1,1.4350845252893227,1.4350845252893227
