Índice del término,Término,TF,IDF,TF-IDF
0,dominate,1,1.7047480922384253,1.7047480922384253
1,oak,2,0.6061358035703155,1.212271607140631
2,driven,1,1.7047480922384253,1.7047480922384253
3,aromas,1,0.6061358035703155,0.6061358035703155
4,include,1,2.3978952727983707,2.3978952727983707
5,roasted,1,2.3978952727983707,2.3978952727983707
6,coffee,1,2.3978952727983707,2.3978952727983707
7,bean,1,2.3978952727983707,2.3978952727983707
8,espresso,1,2.3978952727983707,2.3978952727983707
9,coconut,1,2.3978952727983707,2.3978952727983707
10,vanilla,1,1.7047480922384253,1.7047480922384253
11,carry,1,1.7047480922384253,1.7047480922384253
12,palate,1,0.7884573603642703,0.7884573603642703
13,plum,1,1.2992829841302609,1.2992829841302609
14,chocolate,1,2.3978952727983707,2.3978952727983707
15,astringent,1,2.3978952727983707,2.3978952727983707
16,drying,1,2.3978952727983707,2.3978952727983707
17,tannins,1,2.3978952727983707,2.3978952727983707
18,give,1,2.3978952727983707,2.3978952727983707
19,a,1,0.3184537311185346,0.3184537311185346
20,abrupt,1,2.3978952727983707,2.3978952727983707
21,finish,1,1.0116009116784799,1.0116009116784799
