Índice del término,Término,TF,IDF,TF-IDF
0,ripe,1,1.7047480922384253,1.7047480922384253
1,aromas,1,0.6061358035703155,0.6061358035703155
2,dark,1,1.7047480922384253,1.7047480922384253
3,berries,1,2.3978952727983707,2.3978952727983707
4,mingle,1,2.3978952727983707,2.3978952727983707
5,ample,1,2.3978952727983707,2.3978952727983707
6,note,2,1.2992829841302609,2.5985659682605218
7,black,1,1.2992829841302609,1.2992829841302609
8,pepper,1,1.2992829841302609,1.2992829841302609
9,toasted,1,2.3978952727983707,2.3978952727983707
10,vanilla,1,1.7047480922384253,1.7047480922384253
11,dusty,1,2.3978952727983707,2.3978952727983707
12,tobacco,1,1.7047480922384253,1.7047480922384253
13,palate,1,0.7884573603642703,0.7884573603642703
14,oak,1,0.6061358035703155,0.6061358035703155
15,driven,1,1.7047480922384253,1.7047480922384253
16,nature,1,2.3978952727983707,2.3978952727983707
17,tart,1,1.7047480922384253,1.7047480922384253
18,red,1,1.2992829841302609,1.2992829841302609
19,currant,1,2.3978952727983707,2.3978952727983707
20,shine,1,2.3978952727983707,2.3978952727983707
21,through,1,2.3978952727983707,2.3978952727983707
22,offer,1,1.7047480922384253,1.7047480922384253
23,a,1,0.3184537311185346,0.3184537311185346
24,bite,1,2.3978952727983707,2.3978952727983707
25,levity,1,2.3978952727983707,2.3978952727983707
