Índice del término,Término,TF,IDF,TF-IDF
0,a,3,0.3184537311185346,0.9553611933556038
1,dry,1,1.7047480922384253,1.7047480922384253
2,wine,2,1.2992829841302609,2.5985659682605218
3,spicy,1,2.3978952727983707,2.3978952727983707
4,tight,1,2.3978952727983707,2.3978952727983707
5,taut,1,2.3978952727983707,2.3978952727983707
6,texture,1,2.3978952727983707,2.3978952727983707
7,strongly,1,2.3978952727983707,2.3978952727983707
8,mineral,1,1.7047480922384253,1.7047480922384253
9,character,1,1.7047480922384253,1.7047480922384253
10,layered,1,2.3978952727983707,2.3978952727983707
11,citrus,1,2.3978952727983707,2.3978952727983707
12,pepper,1,1.2992829841302609,1.2992829841302609
13,food,1,2.3978952727983707,2.3978952727983707
14,crisp,1,2.3978952727983707,2.3978952727983707
15,aftertaste,1,2.3978952727983707,2.3978952727983707
