Índice del término,Término,TF,IDF,TF-IDF
0,rustic,1,3.044522437723423,3.044522437723423
1,dry,1,2.3513752571634776,2.3513752571634776
2,flavors,1,0.965080896043587,0.965080896043587
3,berries,1,3.044522437723423,3.044522437723423
4,currants,1,3.044522437723423,3.044522437723423
5,licorice,1,3.044522437723423,3.044522437723423
6,spices,1,3.044522437723423,3.044522437723423
7,cabernet,2,2.3513752571634776,4.702750514326955
8,franc,1,3.044522437723423,3.044522437723423
9,sauvignon,1,1.6582280766035324,1.6582280766035324
