Índice del término,Término,TF,IDF,TF-IDF
0,regular,1,2.302585092994046,2.302585092994046
1,bottling,1,2.302585092994046,2.302585092994046
2,2012,1,2.302585092994046,2.302585092994046
3,rough,1,2.302585092994046,2.302585092994046
4,tannic,1,2.302585092994046,2.302585092994046
5,rustic,1,2.302585092994046,2.302585092994046
6,earthy,1,2.302585092994046,2.302585092994046
7,herbal,1,1.6094379124341003,1.6094379124341003
8,characteristics,1,2.302585092994046,2.302585092994046
9,nonetheless,1,2.302585092994046,2.302585092994046
10,a,3,0.3566749439387324,1.0700248318161971
11,pleasantly,1,2.302585092994046,2.302585092994046
12,unfussy,1,2.302585092994046,2.302585092994046
13,country,1,2.302585092994046,2.302585092994046
14,wine,1,0.6931471805599453,0.6931471805599453
15,good,1,2.302585092994046,2.302585092994046
16,companion,1,2.302585092994046,2.302585092994046
17,hearty,1,2.302585092994046,2.302585092994046
18,winter,1,2.302585092994046,2.302585092994046
19,stew,1,2.302585092994046,2.302585092994046
